item,star
everything bagel,5.0
spinach salad,5.0
cilantro sauce,5.0
burrito,5.0
cherry,5.0
pickled cauliflower,5.0
icing,5.0
beet salad,5.0
creasauce,5.0
onion,5.0
snack,5.0
jam,4.99438202247191
grilled chicken,4.990666666666667
brussel sprouts,4.99
syrup,4.982993197278912
soy,4.979523809523809
vanilla,4.9772727272727275
banana,4.975818181818182
pepper,4.96875
spring roll,4.966666666666667
broccoli,4.963541666666667
powdered sugar,4.961734693877551
bagel,4.959665802362432
capers,4.958333333333333
appetizer,4.9496402877697845
almond milk,4.948518518518518
potato salad,4.946548956661316
dairy,4.946031746031745
vegpizza,4.939024390243903
meat substitutes,4.918181818181818
dipping sauce,4.903179756751185
curry tofu wrap,4.881626178787462
vanillice cream,4.869047619047619
coffee,4.868915306345278
dessert,4.855351469958612
rice,4.844731219932833
home fries,4.829203840402935
cake,4.810899470899471
red onion,4.80787037037037
chocolate chip cookie,4.781481481481482
eggplant,4.774179894179894
Coke,4.757407407407407
cookie,4.75
cream cheese,4.708441558441558
chocolate chip cookies,4.700617283950618
Caesar salad,4.667001082251082
spicy sauce,4.666666666666667
udon noodle salad,4.655109219588858
basmati rice,4.651606425702812
ice cream,4.624128326453908
French toast,4.56602564102564
bananwhip,4.469292929997598
beans,4.454545454545454
Mac&Cheese,4.4425
soy milk,4.434294871794872
coleslaw,4.4125
fake meat,4.4099751163042304
salad,4.404931972789115
TikkMasala,4.3999999999999995
buffalo sauce,4.3556670602125145
arugultaco salad,4.347707396301849
yogurt sauce,4.2976190476190474
tea,4.292156862745098
cupcake,4.268398268398268
cucumber salad,4.267857142857143
vegcuisine,4.254545454545455
chocolate,4.228253968253968
chicken kabob,4.192857142857143
special sauce,4.186505756148613
vegdiet,4.180555555555555
pizza,4.178623136123136
cilantro,4.153133903133903
green lemonade,4.133048543523755
sandwich,4.1304347826086945
dough,4.116071428571429
fries,4.111054949827983
cheese sauce,4.1060606060606055
dressing,4.103866884571363
sweet potato fries,4.098565968036126
curry,4.0932721712538225
pickle,4.079177897574124
brownie,4.074230769230769
sweet potatoes,4.07258064516129
hash browns,4.07162941367023
spices,4.068387612555752
cauliflower,4.062841530054644
sauce,4.056666666666667
tomato,4.054616563606575
celery,4.053571428571429
cucumber,4.053571428571429
fruit,4.045454545454546
honey,4.039044289044289
pumpkin,4.035714285714286
faux meat,4.0256410256410255
kale lemonade,4.0246913580246915
black beans,4.021164021164021
chips,4.0181818181818185
butter,4.016393442622951
peanut butter,4.014285714285714
waffle,4.013854595336077
lime,4.011792452830188
melted cheese,4.011111111111111
spinach,4.008986928104575
lettuce,4.008245427992037
soda,4.0078125
sour cream,4.0073375262054505
noodles,4.007142857142857
milkshake,4.005323868677906
mushroom,4.002487562189055
roll,4.001670843776107
garlic,4.0
taco,4.0
bread,4.0
crust,4.0
buns,4.0
ginger,4.0
broccoli rabe,4.0
mozzarellsticks,4.0
pizzplace,4.0
sweet potato,4.0
milk,4.0
cheese fries,4.0
taco salad,4.0
whipped cream,4.0
guacamole,4.0
soy cheese,4.0
frozen yogurt,4.0
hummus,4.0
carrot,4.0
