business_id,name,rest_stars,review_count,postal_code,item,item_ave_star
-6nQZ-QCkAyNHdtaxOxDpQ,Bimini Juice Bar & Salad Bar,4.0,79,19123,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'fake meat', 'taco salad']",4.0
-NG3pA9LEXCxt0Fjd_aYYA,Linda's Vegetarian Village Restaurant,4.5,45,19144,"['waffle', 'hash browns', 'Falafel Sandwich', 'jam', 'Falafel', 'pizza', 'curry tofu wrap', 'sandwich', 'taco salad']",4.0
-lT5o2BF6ZvSsh8PvpVOgQ,Goldie,4.0,53,19130,"['waffle', 'hash browns', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'taco salad']",4.0
-wwhD6SwDOJZlbZkHlIchQ,Hummusology,4.5,179,19107,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'hash browns', 'Falafel Sandwich', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",5.0
0IEn6AxLNFfdfuwd2bQlbQ,Golden Empress Garden,3.5,181,19147,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",5.0
0vfmJXYVLZAMpUuNJx6ejw,Grindcore House,4.5,25,19104,"['waffle', 'hash browns', 'curry tofu wrap', 'pizza', 'taco salad']",4.0
1fZSiIItAjn8JiDm9HUYvw,Home Cuban Cafe,4.5,19,19106,"['waffle', 'hash browns', 'sweet potato fries', 'curry tofu wrap', 'pizza']",4.0
1pZ-gkuPzYARrljU3YRt_A,Vegan Tree-Spicy Pot Truck,4.5,16,19122,"['waffle', 'hash browns', 'sweet potato fries', 'curry tofu wrap', 'pizza']",4.0
2CDI713ATuxHfnB5b-sBdw,Vedge,4.5,1447,19107,"['Vedge', 'waffle', 'pasta', 'appetizer', 'faux meat', 'burrito', 'bananwhip', 'meat substitute', 'jam', 'cupcake', 'chips', 'cookie', 'udon noodle salad', 'pickle', 'artichoke', 'buffalo sauce', 'home fries', 'beet salad', 'iced coffee', 'guacamole', 'fruit', 'brussel sprouts', 'kale lemonade', 'ice cream', 'hash browns', 'sweet potato fries', 'pancake', 'mock meat', 'hot chocolate', 'soda', 'Toffee Pudding', 'cheese fries', 'celery', 'Caesar salad', 'potato salad', 'green tea', 'meat substitutes', 'cream', 'vegcheese steak', 'eggplant dish', 'milkshake', 'pickled cauliflower', 'mozzarellsticks', 'Pot de Creme', 'vanillice cream', 'spring roll', 'cherry', 'curry tofu wrap', 'lentil soup', 'Mac&Cheese', 'Chocolate Uber Chunk', 'pepper', 'capers', 'green lemonade', 'orange juice', 'spinach salad', 'gluten free bread', 'frozen yogurt', 'arugultaco salad', 'melted cheese', 'Cobb salad', 'brownie', 'fried tofu', 'cucumber salad', 'chocolate chip cookie', 'carrot', 'lemonade', 'vegpizza', 'DDnoodles', 'toast', 'fake meat', 'dairy', 'tea', 'taco']",4.0
2LokHe7GtKZD9Q6w0dRe_A,Queen & Rook Game Cafe,4.5,66,19147,"['waffle', 'hash browns', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'fake meat', 'taco salad']",4.0
2f6NaQVGTM59OGvsdT9pxg,Mood Indian Restaurant,4.0,100,19123,"['waffle', 'hash browns', 'appetizer', 'curry', 'milkshake', 'Palak Paneer', 'jam', 'spring roll', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'Korma', 'SamosChaat', 'vegpizza', 'meat substitutes', 'fake meat', 'TikkMasala']",5.0
2yuwjVRHUCs9tCAYjISaag,The Barn,3.5,53,19143,"['waffle', 'hash browns', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'fake meat', 'taco salad']",4.0
45ClmqPAagmNvdUojFULZA,sweetgreen,3.5,199,19104,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'Coke', 'Harvest Bowl', 'fake meat', 'dairy']",4.0
4D_GsaRoqk7P09VOcgezlQ,B2,3.5,187,19147,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'Brie', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'potato salad', 'Caesar salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",5.0
4JTY29QkmdbmpMms3Midqg,Philly Tacos,4.5,85,19146,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'Coke', 'fake meat']",5.0
5E7Zk3g6kLsB72J4EX4YkA,Bufad,4.0,266,19123,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'beet salad', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'broccoli rabe', 'vegpizza', 'Margherita', 'fake meat', 'dairy']",4.0
617w8MQE3z1szmLvs0WfCw,Bar Bombón,4.0,734,19103,"['waffle', 'appetizer', 'faux meat', 'burrito', 'bananwhip', 'jam', 'cupcake', 'chips', 'cookie', 'pico de gallo', 'udon noodle salad', 'pickle', 'buffalo sauce', 'Chocolate Chip BananPancakes', 'home fries', 'beet salad', 'Verde Maria', 'ice cream', 'guacamole', 'fruit', 'brussel sprouts', 'Tofu', 'hash browns', 'sweet potato fries', 'soda', 'cheese fries', 'celery', 'Tres Leches', 'potato salad', 'Caesar salad', 'meat substitutes', 'Hearts of Palm Ceviche', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'Mergheritas', 'vanillice cream', 'spring roll', 'cherry', 'curry tofu wrap', 'chocolate chip cookie', 'pepper', 'capers', 'green lemonade', 'spinach salad', 'arugultaco salad', 'frozen yogurt', 'melted cheese', 'brownie', 'cucumber salad', 'BK Breakfast', 'carrot', 'Nachos', 'vegpizza', 'Coke', 'fake meat', 'dairy', 'tea', 'taco']",4.333333333333333
65m_3aPnCbDjm8nOd5TrQA,Loving Hut,4.0,32,19147,"['waffle', 'hash browns', 'pizza', 'curry tofu wrap', 'Coke', 'taco salad']",5.0
6ewV-e7-39oqYUq3yZuIyw,Sabrina's Café,4.0,833,19104,"['waffle', 'pasta', 'appetizer', 'faux meat', 'burrito', 'bananwhip', 'jam', 'cupcake', 'chips', 'cookie', 'udon noodle salad', 'pickle', 'buffalo sauce', 'home fries', 'beet salad', 'iced coffee', 'guacamole', 'fruit', 'brussel sprouts', 'ice cream', 'hash browns', 'sweet potato fries', 'soda', 'cheese fries', 'celery', 'Caesar salad', 'potato salad', 'meat substitutes', 'green tea', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'vanillice cream', 'spring roll', 'cherry', 'curry tofu wrap', 'Mac&Cheese', 'chocolate chip cookie', 'pepper', 'capers', 'green lemonade', 'spinach salad', 'arugultaco salad', 'frozen yogurt', 'melted cheese', 'brownie', 'Toast', 'cucumber salad', 'carrot', 'vegpizza', 'fake meat', 'dairy', 'tea', 'taco']",5.0
6h7C53qLfwM7v3zKRqG0yA,Iztaccihuatl,4.0,132,19147,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'guacamole', 'hash browns', 'Caesar salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'Nachos', 'vegpizza', 'fake meat', 'dairy']",4.0
7BmboJEmyQ_DAgTCoCgpgg,Vientiane Bistro,4.5,67,19125,"['waffle', 'hash browns', 'Coconut Soup', 'pad Thai', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'Tamarind Wings', 'udon noodle salad', 'Pad Kee Mao', 'fake meat', 'Pad Thai', 'Spring Roll', 'taco salad']",5.0
7NwFNLC0SwX1SwQYlfF5yw,Luna Café,4.0,444,19106,"['waffle', 'appetizer', 'bananwhip', 'jam', 'cookie', 'udon noodle salad', 'pickle', 'home fries', 'beet salad', 'ice cream', 'guacamole', 'fruit', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'soda', 'cheese fries', 'celery', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'vanillice cream', 'spring roll', 'cherry', 'curry tofu wrap', 'Mac&Cheese', 'green lemonade', 'spinach salad', 'melted cheese', 'carrot', 'broccoli rabe', 'vegpizza', 'kale lemonade', 'fake meat', 'dairy', 'taco']",4.0
7kLE0V9Pid6dx1vD4-jQfQ,Maoz Vegetarian,4.0,159,19147,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'hash browns', 'Caesar salad', 'potato salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",4.0
8HAs-c3bh_tr4ggiYAlZng,sweetgreen,3.5,173,19107,"['waffle', 'appetizer', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'hash browns', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'Harvest Bowl', 'fake meat', 'dairy']",4.0
8fN1DiPUUWAhLsZW4xSSJQ,Delicias,3.5,61,19104,"['waffle', 'hash browns', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'fake meat', 'taco salad']",5.0
8yZzf0gdWpSmY6ziyq7hKQ,Sazon Restaurant & Cafe,4.0,370,19123,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'home fries', 'beet salad', 'ice cream', 'guacamole', 'fruit', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'cheese fries', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'arugultaco salad', 'melted cheese', 'broccoli rabe', 'vegpizza', 'kale lemonade', 'fake meat', 'dairy', 'taco']",4.0
99e7bysta1myyrQogFEWUQ,Dock Street Brewery,4.0,549,19143,"['waffle', 'appetizer', 'burrito', 'bananwhip', 'jam', 'cupcake', 'cookie', 'udon noodle salad', 'pickle', 'buffalo sauce', 'home fries', 'beet salad', 'ice cream', 'Brie', 'guacamole', 'brussel sprouts', 'fruit', 'hash browns', 'sweet potato fries', 'soda', 'cheese fries', 'celery', 'Caesar salad', 'meat substitutes', 'potato salad', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'vanillice cream', 'spring roll', 'cherry', 'curry tofu wrap', 'chocolate chip cookie', 'green lemonade', 'spinach salad', 'arugultaco salad', 'frozen yogurt', 'melted cheese', 'brownie', 'carrot', 'broccoli rabe', 'vegpizza', 'Margherita', 'fake meat', 'dairy', 'tea', 'taco']",5.0
9A5Gw0At6so0x-vWM0_JZw,Grindcore House,4.5,338,19147,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'home fries', 'beet salad', 'ice cream', 'guacamole', 'fruit', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'arugultaco salad', 'melted cheese', 'broccoli rabe', 'vegpizza', 'kale lemonade', 'fake meat', 'dairy']",4.0
9e_rrzyTolsH1RUXHOvsMA,Circles Contemporary Thai,3.5,394,19123,"['waffle', 'appetizer', 'bananwhip', 'jam', 'Burrito', 'udon noodle salad', 'pickle', 'home fries', 'beet salad', 'Pad Thai', 'ice cream', 'guacamole', 'fruit', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'soda', 'cheese fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'Spring Roll', 'pad Thai', 'milkshake', 'pickled cauliflower', 'curry', 'mozzarellsticks', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'arugultaco salad', 'Pad Kee Mao', 'melted cheese', 'Dumplings', 'broccoli rabe', 'vegpizza', 'kale lemonade', 'fake meat', 'dairy', 'taco']",4.166666666666667
9m6GQp45QBEydlyE6DywCw,honeygrow,3.5,77,19107,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'fake meat']",5.0
9nEASTWzpz2MildruqjFhg,Wiz Kid,4.0,52,19130,"['waffle', 'hash browns', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'udon noodle salad', 'taco salad']",4.0
9rdEIoILba8wSZcrTLFzNA,Vegan Tree,4.0,195,19147,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'curry', 'Mac&Cheese', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",5.0
9ujreFoSYcURn43VkCkIhQ,Agno Grill,4.0,225,19103,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'beet salad', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'fake chicken', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'vegpizza', 'fake meat', 'dairy']",5.0
A3Qt87F7ZaAwCW4CyyB1Fw,Dottie's Donuts,4.5,206,19143,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'beet salad', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'Caesar salad', 'potato salad', 'meat substitutes', 'curry', 'milkshake', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'Oreo', 'vegpizza', 'fake meat', 'dairy']",4.0
AY1SyySRyTnBwBdf7qfGxQ,Citi Market place,4.5,86,19107,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'jam', 'pizza', 'curry tofu wrap', 'udon noodle salad', 'vegpizza', 'Reuben', 'fake meat']",5.0
AfM_dYO_LTqQz33qHbT45A,"Mamoun's Falafel - Philadelphia, PA",4.0,96,19106,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'curry', 'jam', 'spring roll', 'pizza', 'curry tofu wrap', 'udon noodle salad', 'vegpizza', 'fake meat']",4.0
Aw9Tldxcg5ifodzn0R2O6g,Blackbird Pizzeria,4.0,248,19123,"['waffle', 'appetizer', 'bananwhip', 'jam', 'pizza', 'udon noodle salad', 'pickle', 'beet salad', 'ice cream', 'guacamole', 'brussel sprouts', 'hash browns', 'sweet potato fries', 'potato salad', 'Caesar salad', 'meat substitutes', 'milkshake', 'curry', 'spring roll', 'curry tofu wrap', 'green lemonade', 'spinach salad', 'Fries', 'broccoli rabe', 'vegpizza', 'fake meat', 'dairy']",5.0
B2MKYwShNmBiaQ3EJadR-Q,honeygrow,3.5,46,19122,"['waffle', 'hash browns', 'jam', 'pizza', 'curry tofu wrap', 'sandwich', 'taco salad']",4.0
BELS5YkYjDFkpbM2FuDdaA,Nourish,4.5,90,19147,"['waffle', 'hash browns', 'appetizer', 'milkshake', 'jam', 'Mac&Cheese', 'pizza', 'spring roll', 'curry tofu wrap', 'udon noodle salad', 'cheese', 'vegpizza', 'fake meat']",5.0
