item,ave_star,std_star
snack,5,0
everything bagel,5,0
spinach salad,5,0
creasauce,5,0
beet salad,5,0
icing,5,0
pickled cauliflower,5,0
cherry,5,0
burrito,5,0
cilantro sauce,5,0
onion,5,0
jam,4.994382022,0.07474233
brussel sprouts,4.99,0.063770422
syrup,4.982993197,0.096684833
soy,4.97952381,0.12374174
banana,4.975818182,0.114205026
pepper,4.96875,0.12103073
spring roll,4.966666667,0.179505494
broccoli,4.963541667,0.097578094
powdered sugar,4.961734694,0.139934573
bagel,4.959665802,0.159452615
capers,4.958333333,0.1381927
appetizer,4.949640288,0.171109461
almond milk,4.948518519,0.141776888
potato salad,4.946548957,0.130817339
dairy,4.946031746,0.22122224
vegpizza,4.93902439,0.179415256
meat substitutes,4.918181818,0.192990101
dipping sauce,4.903179757,0.137163567
curry tofu wrap,4.881626179,0.237283282
vanillice cream,4.869047619,0.228683008
coffee,4.868915306,0.220176031
dessert,4.85535147,0.200496984
rice,4.84473122,0.199145411
home fries,4.82920384,0.336805492
cake,4.810899471,0.222250842
red onion,4.80787037,0.237728213
eggplant,4.774179894,0.36494613
Coke,4.757407407,0.385510013
cookie,4.75,0.433012702
chocolate chip cookie,4.716622575,0.191715631
cream cheese,4.708441558,0.374020429
Caesar salad,4.667001082,0.260668672
spicy sauce,4.666666667,0.471404521
udon noodle salad,4.65510922,0.256782239
basmati rice,4.651606426,0.169229581
ice cream,4.624128326,0.220027282
French toast,4.566025641,0.268023068
bananwhip,4.46929293,0.24431272
beans,4.454545455,0.497929598
Mac&Cheese,4.4425,0.422014843
soy milk,4.434294872,0.189773635
coleslaw,4.4125,0.284403616
fake meat,4.409975116,0.207793626
salad,4.404931973,0.479936764
TikkMasala,4.4,0.334845057
buffalo sauce,4.35566706,0.183737581
arugultaco salad,4.347707396,0.284019953
yogurt sauce,4.297619048,0.261091812
tea,4.292156863,0.300876587
cupcake,4.268398268,0.100652842
cucumber salad,4.267857143,0.240243287
chocolate,4.228253968,0.182947509
vegcuisine,4.209090909,0.213716942
special sauce,4.186505756,0.126802834
pizza,4.178623136,0.231503579
cilantro,4.153133903,0.222204937
green lemonade,4.133048544,0.157422909
sandwich,4.130434783,0.095256097
dough,4.116071429,0.205744975
fries,4.11105495,0.079305878
cheese sauce,4.106060606,0.15525683
dressing,4.103866885,0.069566564
sweet potato fries,4.098565968,0.072708385
curry,4.093272171,0.153220928
pickle,4.079177898,0.179579682
brownie,4.074230769,0.179961781
hash browns,4.071629414,0.171199774
spices,4.068387613,0.144095536
cauliflower,4.06284153,0.162975337
sauce,4.056666667,0.114794502
tomato,4.054616564,0.123670521
celery,4.053571429,0.154647394
cucumber,4.053571429,0.154647394
fruit,4.045454545,0.143739894
honey,4.039044289,0.126517285
pumpkin,4.035714286,0.128769688
faux meat,4.025641026,0.088823118
kale lemonade,4.024691358,0.079050917
black beans,4.021164021,0.116882127
chips,4.018181818,0.057495957
butter,4.016393443,0.089039184
peanut butter,4.014285714,0.083299313
waffle,4.013854595,0.063036289
lime,4.011792453,0.086752708
melted cheese,4.011111111,0.073702773
sweet potato,4.010606061,0.044251763
spinach,4.008986928,0.049033223
lettuce,4.008245428,0.048450492
soda,4.0078125,0.043498159
sour cream,4.007337526,0.033329378
noodles,4.007142857,0.037115374
milkshake,4.005323869,0.039246609
mushroom,4.002487562,0.020209051
roll,4.001670844,0.013522485
ginger,4,0
buns,4,0
crust,4,0
guacamole,4,0
soy cheese,4,0
taco salad,4,0
bread,4,0
hummus,4,0
garlic,4,0
broccoli rabe,4,0
mozzarellsticks,4,0
taco,4,0
pizzplace,4,0
cheese fries,4,0
carrot,4,0
milk,4,0
frozen yogurt,4,0
whipped cream,4,0
