postal_code,#restaurant,#good_item,good_item
19147,43,51,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'spicy sauce', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'onion', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19107,33,49,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19107,32,49,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19103,29,51,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'spicy sauce', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'onion', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19103,18,51,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'spicy sauce', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'onion', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19143,14,45,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'spicy sauce', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'Caesar salad', 'everything bagel', 'potato salad', 'brussel sprouts', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'onion', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19130,11,48,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19106,10,47,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'red onion', 'cilantro sauce', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'capers', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'pepper', 'Caesar salad', 'everything bagel', 'potato salad', 'brussel sprouts', 'broccoli', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19146,9,43,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'eggplant', 'basmati rice', 'spicy sauce', 'jam', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'burrito', 'cherry', 'syrup', 'soy', 'vanilla', 'French toast', 'banana']"
19102,9,46,"['appetizer', 'cream cheese', 'cookie', 'spring roll', 'almond milk', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'chocolate chip cookies', 'eggplant', 'basmati rice', 'jam', 'spicy sauce', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'vanillice cream', 'Caesar salad', 'everything bagel', 'potato salad', 'Coke', 'brussel sprouts', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'onion', 'rice', 'burrito', 'cherry', 'French toast', 'syrup', 'soy', 'vanilla', 'chocolate chip cookie', 'banana']"
19145,9,35,"['appetizer', 'cream cheese', 'spring roll', 'home fries', 'dessert', 'ice cream', 'udon noodle salad', 'pickled cauliflower', 'grilled chicken', 'cake', 'powdered sugar', 'meat substitutes', 'eggplant', 'basmati rice', 'jam', 'snack', 'dairy', 'coffee', 'beet salad', 'vegpizza', 'Caesar salad', 'everything bagel', 'potato salad', 'brussel sprouts', 'dipping sauce', 'icing', 'curry tofu wrap', 'spinach salad', 'bagel', 'creasauce', 'rice', 'syrup', 'soy', 'French toast', 'banana']"
